District,Month,Visitors,Year
Adilabad,January,621850,2020
Adilabad,February,29421,2020
Adilabad,March,9430,2020
Adilabad,April,7876,2020
Adilabad,May,5728,2020
Adilabad,June,1909,2020
Adilabad,July,549,2020
Adilabad,August,654,2020
Adilabad,September,3978,2020
Adilabad,October,15128,2020
Adilabad,November,27525,2020
Adilabad,December,61403,2020
Bhadradri Kothagudem ,January,269310,2020
Bhadradri Kothagudem ,February,238140,2020
Bhadradri Kothagudem ,March,79871,2020
Bhadradri Kothagudem ,April,2518,2020
Bhadradri Kothagudem ,May,5896,2020
Bhadradri Kothagudem ,June,15399,2020
Bhadradri Kothagudem ,July,15130,2020
Bhadradri Kothagudem ,August,26350,2020
Bhadradri Kothagudem ,September,30957,2020
Bhadradri Kothagudem ,October,49203,2020
Bhadradri Kothagudem ,November,76900,2020
Bhadradri Kothagudem ,December,80842,2020
Hyderabad,January,1157153,2020
Hyderabad,February,868641,2020
Hyderabad,March,321650,2020
Hyderabad,April,2039,2020
Hyderabad,May,1430,2020
Hyderabad,June,1144,2020
Hyderabad,July,3799,2020
Hyderabad,August,4764,2020
Hyderabad,September,21861,2020
Hyderabad,October,167510,2020
Hyderabad,November,272276,2020
Hyderabad,December,442895,2020
Jagtial ,January,340174,2020
Jagtial ,February,186484,2020
Jagtial ,March,347014,2020
Jagtial ,April,7924,2020
Jagtial ,May,3079,2020
Jagtial ,June,14228,2020
Jagtial ,July,41752,2020
Jagtial ,August,34496,2020
Jagtial ,September,83012,2020
Jagtial ,October,83004,2020
Jagtial ,November,154438,2020
Jagtial ,December,155757,2020
Jangaon ,January,28150,2020
Jangaon ,February,26390,2020
Jangaon ,March,21430,2020
Jangaon ,April,1674,2020
Jangaon ,May,1073,2020
Jangaon ,June,8435,2020
Jangaon ,July,2600,2020
Jangaon ,August,2750,2020
Jangaon ,September,2700,2020
Jangaon ,October,3050,2020
Jangaon ,November,12070,2020
Jangaon ,December,11860,2020
Jayashankar Bhoopalpally,January,50500,2020
Jayashankar Bhoopalpally,February,59000,2020
Jayashankar Bhoopalpally,March,34200,2020
Jayashankar Bhoopalpally,April,8335,2020
Jayashankar Bhoopalpally,May,5386,2020
Jayashankar Bhoopalpally,June,6241,2020
Jayashankar Bhoopalpally,July,5600,2020
Jayashankar Bhoopalpally,August,7000,2020
Jayashankar Bhoopalpally,September,7600,2020
Jayashankar Bhoopalpally,October,8000,2020
Jayashankar Bhoopalpally,November,15000,2020
Jayashankar Bhoopalpally,December,15200,2020
Jogulamba Gadwal ,January,146441,2020
Jogulamba Gadwal ,February,481110,2020
Jogulamba Gadwal ,March,24013,2020
Jogulamba Gadwal ,April,7699,2020
Jogulamba Gadwal ,May,6517,2020
Jogulamba Gadwal ,June,26013,2020
Jogulamba Gadwal ,July,88182,2020
Jogulamba Gadwal ,August,106925,2020
Jogulamba Gadwal ,September,131485,2020
Jogulamba Gadwal ,October,116753,2020
Jogulamba Gadwal ,November,228325,2020
Jogulamba Gadwal ,December,184380,2020
Kamareddy ,January,45,2020
Kamareddy ,February,42,2020
Kamareddy ,March,30,2020
Kamareddy ,April,9952,2020
Kamareddy ,May,4368,2020
Kamareddy ,June,2024,2020
Kamareddy ,July,38,2020
Kamareddy ,August,42,2020
Kamareddy ,September,55,2020
Kamareddy ,October,39,2020
Kamareddy ,November,46,2020
Kamareddy ,December,48,2020
Karimnagar ,January,12057,2020
Karimnagar ,February,8359,2020
Karimnagar ,March,6100,2020
Karimnagar ,April,6355,2020
Karimnagar ,May,8540,2020
Karimnagar ,June,540,2020
Karimnagar ,July,850,2020
Karimnagar ,August,2500,2020
Karimnagar ,September,2250,2020
Karimnagar ,October,3258,2020
Karimnagar ,November,4100,2020
Karimnagar ,December,4200,2020
Khammam,January,114752,2020
Khammam,February,114417,2020
Khammam,March,57137,2020
Khammam,April,1109,2020
Khammam,May,8990,2020
Khammam,June,12806,2020
Khammam,July,9104,2020
Khammam,August,7942,2020
Khammam,September,9078,2020
Khammam,October,27858,2020
Khammam,November,40647,2020
Khammam,December,37084,2020
Komaram Bheem Asifabad,January,2463,2020
Komaram Bheem Asifabad,February,1593,2020
Komaram Bheem Asifabad,March,812,2020
